,FAA,name,state,city
4854,CA39,Belos Cavalos Airport,CA,Santa Rosa
4855,22FA,Hidden River Airport,FL,Sarasota
4856,US-0398,Pheasant Wings Airport,OK,Sasakwa
4857,US-0422,Rocky Point Airport,OK,Sasakwa
4858,GA39,Hodges Airpark,GA,Savannah
4859,K3O4,Sayre Municipal Airport,OK,Sayre
4860,NK43,Jerry Phibbs Airport,NY,Schenectady
4861,KL83,Thibodaux Municipal Airport,LA,Schriever
4862,10LA,Industrial Helicopters Inc. Airport,LA,Scott
4863,KSCB,Scribner State Airport,NE,Scribner
4864,2TA4,Mario's Flying Pizza Airport,TX,Sealy
4865,K1L3,Searchlight Airport,NV,Searchlight
4866,K3G6,Tri City Airport,OH,Sebring
4867,61K,Sedan City Airport,KS,Sedan
4868,MT39,Black Canyon Ranch Airport,MT,Seeley Lake
4869,KSEQ,Randolph Air Force Base Auxiliary Airport,TX,Seguin
4870,62K,Seneca Municipal Airport,KS,Seneca
4871,2WA1,Diamond Point Airstrip,WA,Sequim
4872,73WA,Seven Bays Airport,WA,Seven Bays
4873,8OA9,Margos Sky Ranch Airport,OH,Seville
4874,KSWT,Seward Municipal Airport,NE,Seward
4875,NE18,Krutz Airport,NE,Seward
4876,TN20,Seymour Air Park,TN,Seymour
4877,K60F,Seymour Municipal Airport,TX,Seymour
4878,TA67,Biggin Hill Airpark,TX,Shallowater
4879,US-3845,Shaw Island AIrport,WA,Shaw Island
4880,9TX9,Canon Ranch Airport,TX,Sheffield
4881,09TX,Smokey Mountain Ranch Airport,TX,Sheffield
4882,VT8,Shelburne Airport,VT,Shelburne
4883,KSHL,Sheldon Regional Airport,IA,Sheldon
4884,US-5735,Discovery Bay at Norwalk Landing Airport,MO,Shell Knob
4885,1GA0,Eagle Neck Airport,GA,Shellman Bluff
4886,99A,Smith's International Airport,AR,Sherrill
4887,US-1230,Tres Perros Flying Field,TX,Shiner
4888,K5V5,Shiprock Airstrip,NM,Shiprock
4889,0ID4,Black Butte Ranch Airport,ID,Shoshone
4890,21AZ,White Mountain Lake Airport,AZ,Show Low
4891,KISB,Sibley Municipal Airport,IA,Sibley
